Data,Insolação,TempMax,TempMin,TempMean,Umidade Relativa Media,Precipitação
2019-03-15 18:11:07.761141,5.80,33.50,23.40,27.46,82.75,5.50
2019-03-15 18:11:09.642058,5.30,32.80,23.40,27.18,86.00,1.30
2019-03-15 18:11:11.526318,6.90,33.50,23.10,27.24,88.00,1.00
2019-03-15 18:11:13.410260,6.80,32.10,23.50,27.16,87.75,34.60
2019-03-15 18:11:15.296043,6.00,32.30,23.90,0.00,88.25,3.60
2019-03-15 18:11:17.178185,0.90,31.90,23.70,25.80,89.25,16.90
2019-03-15 18:11:19.063264,4.50,32.50,22.50,25.96,78.50,1.20
2019-03-15 18:11:20.948065,2.00,32.90,23.50,26.68,83.50,1.00
2019-03-15 18:11:22.832030,1.20,31.50,23.10,25.40,91.75,0.00
2019-03-15 18:11:32.574919,0.30,28.10,23.10,24.80,85.75,20.30
2019-03-15 18:11:34.460721,6.90,32.90,22.70,27.08,81.75,0.90
2019-03-15 18:11:36.345337,7.30,34.00,22.20,26.00,80.00,1.40
2019-03-15 18:11:38.227382,5.80,31.70,22.70,26.24,86.00,1.10
2019-03-15 18:11:40.111631,7.80,33.30,22.50,26.28,83.00,2.60
2019-03-15 18:11:41.996032,5.50,32.90,23.10,26.84,90.50,1.00
