Estacao,Data,Dia,Mes,Ano,Insolacao,TempMaxima,TempMinima,Temp Comp Media,Umidade Relativa Media,Precipitacao
82191,01/01/2018,1,1,18,5.8,33.5,23.4,27.46,82.75,5.5
82191,02/01/2018,2,1,18,5.3,32.8,23.4,27.18,86,1.3
82191,03/01/2018,3,1,18,6.9,33.5,23.1,27.24,88,1
82191,04/01/2018,4,1,18,6.8,32.1,23.5,27.16,87.75,34.6
82191,05/01/2018,5,1,18,6,32.3,23.9,0,88.25,3.6
82191,06/01/2018,6,1,18,0.9,31.9,23.7,25.8,89.25,16.9
82191,07/01/2018,7,1,18,4.5,32.5,22.5,25.96,78.5,1.2
82191,08/01/2018,8,1,18,2,32.9,23.5,26.68,83.5,1
82191,09/01/2018,9,1,18,1.2,31.5,23.1,25.4,91.75,0
82191,10/01/2018,10,1,18,0.3,28.1,23.1,24.8,85.75,20.3
82191,11/01/2018,11,1,18,6.9,32.9,22.7,27.08,81.75,0.9
82191,12/01/2018,12,1,18,7.3,34,22.2,26,80,1.4
82191,13/01/2018,13,1,18,5.8,31.7,22.7,26.24,86,1.1
82191,14/01/2018,14,1,18,7.8,33.3,22.5,26.28,83,2.6
82191,15/01/2018,15,1,18,5.5,32.9,23.1,26.84,90.5,1
82191,16/01/2018,16,1,18,6.3,33.9,22.5,27.12,86.25,24.8
82191,17/01/2018,17,1,18,8.2,34.5,22.7,26.96,85,11
82191,18/01/2018,18,1,18,2.8,32.2,23.4,25.92,93.25,26.8
82191,19/01/2018,19,1,18,4,31.9,22.5,26.14,84.5,26
82191,20/01/2018,20,1,18,3,32.2,23.8,26.5,93.25,12
82191,21/01/2018,21,1,18,5.1,32.6,22.7,26.54,92.25,14.6
82191,22/01/2018,22,1,18,6.8,33,23.5,27.18,89.75,9.4
82191,23/01/2018,23,1,18,8.2,34.1,24.1,27.24,84,4.1
82191,24/01/2018,24,1,18,2.8,31.6,22.6,25.1,91.5,20
82191,25/01/2018,25,1,18,0.5,29.5,22.9,25.36,89.75,46.8
82191,26/01/2018,26,1,18,2.9,32,23.3,26.7,89.5,0
82191,27/01/2018,27,1,18,4.2,33.5,24.2,26.74,93.25,0.8
82191,28/01/2018,28,1,18,3.5,32.4,23.3,25.5,91.25,15.8
82191,29/01/2018,29,1,18,4.8,31.9,22.9,26.68,86.25,40.6
82191,30/01/2018,30,1,18,5.5,32.3,23.5,26.24,92.25,0
82191,31/01/2018,31,1,18,5.4,33,23.1,26.78,93.5,17.7
82191,01/02/2018,1,2,18,5.7,33.3,24.3,27.12,88.5,5.7
82191,02/02/2018,2,2,18,4.4,32.3,23.7,26.32,90.25,4.2
82191,03/02/2018,3,2,18,0,26.6,23.9,24.76,97.75,25.3
82191,04/02/2018,4,2,18,0,27.5,23.1,24.84,97.25,132.3
82191,05/02/2018,5,2,18,0.6,29.3,23.7,25.12,97,26.8
82191,06/02/2018,6,2,18,2.3,30,23.8,25.64,93.75,38.1
82191,07/02/2018,7,2,18,1.7,30.1,23.7,25.32,93.25,21.2
82191,08/02/2018,8,2,18,0.2,29.7,23.9,25.64,94,80.2
82191,09/02/2018,9,2,18,1.2,30.3,23.7,26.24,86,6.4
82191,10/02/2018,10,2,18,6.7,32.2,23.7,27.22,82.25,2.6
82191,11/02/2018,11,2,18,7.2,33.4,24,27,80,5.8
82191,12/02/2018,12,2,18,0.5,31.3,23.9,25.96,89,0
82191,13/02/2018,13,2,18,6.4,33,23,25.96,90.5,0
82191,14/02/2018,14,2,18,2.1,29.8,23.7,26.04,88,17.6
82191,15/02/2018,15,2,18,5.5,31.4,23.3,26.86,86.75,3
82191,16/02/2018,16,2,18,8.5,33.9,24.3,27.8,81,4.2
82191,17/02/2018,17,2,18,0,27.8,23.9,25.18,96.25,12.4
82191,18/02/2018,18,2,18,5.6,32.9,23.8,26.98,92.75,20.4
82191,19/02/2018,19,2,18,3.4,32.5,23.4,28.1,76.25,0.4
82191,20/02/2018,20,2,18,0.2,29.2,24.3,25.42,90.25,0.3
82191,21/02/2018,21,2,18,2.7,31.1,23.5,26.08,90.75,30.8
82191,22/02/2018,22,2,18,0.1,28.6,23.2,25.04,97.25,34.5
82191,23/02/2018,23,2,18,2.9,30.5,22.8,25.82,95.25,62.5
82191,24/02/2018,24,2,18,4.7,33.1,23.1,26.84,87,17.2
82191,25/02/2018,25,2,18,1.5,29,23.5,25.36,97.75,5.7
82191,26/02/2018,26,2,18,6.9,33.1,23.3,26.76,83.75,90.7
82191,27/02/2018,27,2,18,1.1,28.9,24.2,26.38,93,0.1
82191,28/02/2018,28,2,18,2.5,30.4,23.7,26.02,91.75,23.2
82191,01/03/2018,1,3,18,5.9,32.2,23.3,26.22,93,24.5
82191,02/03/2018,2,3,18,6.6,33.6,22.9,26.82,85.25,7.9
82191,03/03/2018,3,3,18,9.9,34.2,23.9,27.72,77,0.1
82191,04/03/2018,4,3,18,7.3,34.5,24.1,27.48,89.25,0.1
82191,05/03/2018,5,3,18,5.5,32.9,23.4,26.7,91.25,11
82191,06/03/2018,6,3,18,7,33.7,23.5,27.24,89,24.2
82191,07/03/2018,7,3,18,5.8,31.9,23.3,27.08,86.75,8.2
82191,08/03/2018,8,3,18,5.6,32.3,23.3,26.8,92.25,1.6
82191,09/03/2018,9,3,18,3.8,33.3,23.5,26.96,89.5,20.2
82191,10/03/2018,10,3,18,8.1,32.9,24.1,27,87,0.6
82191,11/03/2018,11,3,18,6.9,34.5,23.5,27.52,88,1.4
82191,12/03/2018,12,3,18,7.3,32.3,24.5,27.4,83.25,22.3
82191,13/03/2018,13,3,18,3.7,32.5,23.9,26.98,91.25,10.6
82191,14/03/2018,14,3,18,2.2,32.7,23.5,26.36,95.5,39.5
82191,15/03/2018,15,3,18,2.9,31.1,22.5,25.96,87,67.6
82191,16/03/2018,16,3,18,3.1,32.8,23.8,27.22,85,1
82191,17/03/2018,17,3,18,8.3,33.3,24.3,27.88,84.5,0
82191,18/03/2018,18,3,18,8.7,32.2,24.1,27.38,85.5,0
82191,19/03/2018,19,3,18,9.3,33.3,24.1,27.6,83.75,1.2
82191,20/03/2018,20,3,18,7.8,33.7,23.7,27.48,87.5,2.8
82191,21/03/2018,21,3,18,6.1,33.9,23.5,26.84,93,6.2
82191,22/03/2018,22,3,18,7.1,33.1,23.1,27.08,88,27.5
82191,23/03/2018,23,3,18,3.6,31.3,23.9,26.32,90,36.9
82191,24/03/2018,24,3,18,6.1,32.3,23.6,26.46,90.75,23.8
82191,25/03/2018,25,3,18,1.7,31.6,23.3,25.38,92,61.2
82191,26/03/2018,26,3,18,2.9,31.8,22.7,26.26,88.5,30.2
82191,27/03/2018,27,3,18,8.6,33.3,24.2,26.9,84.75,0
82191,28/03/2018,28,3,18,5.7,33.5,23.6,26.74,90.25,6.6
82191,29/03/2018,29,3,18,0.3,29.1,24,25.7,95,34.5
82191,30/03/2018,30,3,18,3.8,31.9,23.1,25.88,92,22.8
82191,31/03/2018,31,3,18,8.3,33.1,23.3,26.44,88.25,12.2
